template_id,src_cat,src_aspect,predicate,tgt_cat,tgt_aspect
t6526,vertebrate,,is output of,molecular activity,
t6527,vertebrate,,is output of,biological process,
t6528,vertebrate,,actively involved in,molecular activity,
t6529,vertebrate,,actively involved in,biological process,
t6530,vertebrate,,capable of,activity and behavior,
t6531,vertebrate,,capable of,phenomenon,
t6532,vertebrate,,capable of,environmental process,
t6533,vertebrate,,consumes,attribute,
t6534,vertebrate,,consumes,organism taxon,
t6535,vertebrate,,consumes,event,
t6536,vertebrate,,consumed by,attribute,
t6537,vertebrate,,consumed by,organism taxon,
t6538,vertebrate,,consumed by,event,
t6539,vertebrate,,has contraindication,chemical entity,
t6540,vertebrate,,has contraindication,drug,
t6541,vertebrate,,has contraindication,treatment,
t6542,vertebrate,,in taxon,organism taxon,
t6543,fungus,,related to,attribute,
t6544,fungus,,related to,organism taxon,
t6545,fungus,,related to,event,
t6546,fungus,,associated with,attribute,
t6547,fungus,,associated with,organism taxon,
t6548,fungus,,associated with,event,
t6549,fungus,,assesses,attribute,
t6550,fungus,,assesses,organism taxon,
t6551,fungus,,assesses,event,
t6552,fungus,,is assessed by,attribute,
t6553,fungus,,is assessed by,organism taxon,
t6554,fungus,,is assessed by,event,
t6555,fungus,,interacts with,attribute,
t6556,fungus,,interacts with,organism taxon,
t6557,fungus,,interacts with,event,
t6558,fungus,,associated with sensitivity to,molecular entity,
t6559,fungus,,associated with sensitivity to,chemical mixture,
t6560,fungus,,associated with sensitivity to,environmental food contaminant,
t6561,fungus,,associated with resistance to,molecular entity,
t6562,fungus,,associated with resistance to,chemical mixture,
t6563,fungus,,associated with resistance to,environmental food contaminant,
t6564,fungus,,correlated with,attribute,
t6565,fungus,,correlated with,organism taxon,
t6566,fungus,,correlated with,event,
t6567,fungus,,positively correlated with,attribute,
t6568,fungus,,positively correlated with,organism taxon,
t6569,fungus,,positively correlated with,event,
t6570,fungus,,negatively correlated with,attribute,
t6571,fungus,,negatively correlated with,organism taxon,
t6572,fungus,,negatively correlated with,event,
t6573,fungus,,occurs together in literature with,attribute,
t6574,fungus,,occurs together in literature with,organism taxon,
t6575,fungus,,occurs together in literature with,event,
t6576,fungus,,has phenotype,behavioral feature,
t6577,fungus,,has phenotype,clinical finding,
t6578,fungus,,located in,attribute,
t6579,fungus,,located in,organism taxon,
t6580,fungus,,located in,event,
t6581,fungus,,location of,attribute,
t6582,fungus,,location of,organism taxon,
t6583,fungus,,location of,event,
t6584,fungus,,is input of,molecular activity,
t6585,fungus,,is input of,biological process,
t6586,fungus,,is output of,molecular activity,
t6587,fungus,,is output of,biological process,
t6588,fungus,,actively involved in,molecular activity,
t6589,fungus,,actively involved in,biological process,
t6590,fungus,,capable of,activity and behavior,
t6591,fungus,,capable of,phenomenon,
t6592,fungus,,capable of,environmental process,
t6593,fungus,,consumes,attribute,
t6594,fungus,,consumes,organism taxon,
t6595,fungus,,consumes,event,
t6596,fungus,,consumed by,attribute,
t6597,fungus,,consumed by,organism taxon,
t6598,fungus,,consumed by,event,
t6599,fungus,,has contraindication,chemical entity,
t6600,fungus,,has contraindication,drug,
t6601,fungus,,has contraindication,treatment,
t6602,fungus,,in taxon,organism taxon,
t6603,life stage,,related to,attribute,
t6604,life stage,,related to,organism taxon,
t6605,life stage,,related to,event,
t6606,life stage,,associated with,attribute,
t6607,life stage,,associated with,organism taxon,
t6608,life stage,,associated with,event,
t6609,life stage,,assesses,attribute,
t6610,life stage,,assesses,organism taxon,
t6611,life stage,,assesses,event,
t6612,life stage,,is assessed by,attribute,
t6613,life stage,,is assessed by,organism taxon,
t6614,life stage,,is assessed by,event,
t6615,life stage,,interacts with,attribute,
t6616,life stage,,interacts with,organism taxon,
t6617,life stage,,interacts with,event,
t6618,life stage,,associated with sensitivity to,molecular entity,
t6619,life stage,,associated with sensitivity to,chemical mixture,
t6620,life stage,,associated with sensitivity to,environmental food contaminant,
t6621,life stage,,associated with resistance to,molecular entity,
t6622,life stage,,associated with resistance to,chemical mixture,
t6623,life stage,,associated with resistance to,environmental food contaminant,
t6624,life stage,,correlated with,attribute,
t6625,life stage,,correlated with,organism taxon,
t6626,life stage,,correlated with,event,
t6627,life stage,,positively correlated with,attribute,
t6628,life stage,,positively correlated with,organism taxon,
t6629,life stage,,positively correlated with,event,
t6630,life stage,,negatively correlated with,attribute,
t6631,life stage,,negatively correlated with,organism taxon,
t6632,life stage,,negatively correlated with,event,
t6633,life stage,,occurs together in literature with,attribute,
t6634,life stage,,occurs together in literature with,organism taxon,
t6635,life stage,,occurs together in literature with,event,
t6636,life stage,,has phenotype,behavioral feature,
t6637,life stage,,has phenotype,clinical finding,
t6638,life stage,,located in,attribute,
t6639,life stage,,located in,organism taxon,
t6640,life stage,,located in,event,
t6641,life stage,,location of,attribute,
t6642,life stage,,location of,organism taxon,
t6643,life stage,,location of,event,
t6644,life stage,,is input of,molecular activity,
t6645,life stage,,is input of,biological process,
t6646,life stage,,is output of,molecular activity,
t6647,life stage,,is output of,biological process,
t6648,life stage,,actively involved in,molecular activity,
t6649,life stage,,actively involved in,biological process,
t6650,life stage,,capable of,activity and behavior,
t6651,life stage,,capable of,phenomenon,
t6652,life stage,,capable of,environmental process,
t6653,life stage,,consumes,attribute,
t6654,life stage,,consumes,organism taxon,
t6655,life stage,,consumes,event,
t6656,life stage,,consumed by,attribute,
t6657,life stage,,consumed by,organism taxon,
t6658,life stage,,consumed by,event,
t6659,life stage,,has contraindication,chemical entity,
t6660,life stage,,has contraindication,drug,
t6661,life stage,,has contraindication,treatment,
t6662,life stage,,in taxon,organism taxon,
t6663,individual organism,,related to,attribute,
t6664,individual organism,,related to,organism taxon,
t6665,individual organism,,related to,event,
t6666,individual organism,,associated with,attribute,
t6667,individual organism,,associated with,organism taxon,
t6668,individual organism,,associated with,event,
t6669,individual organism,,assesses,attribute,
t6670,individual organism,,assesses,organism taxon,
t6671,individual organism,,assesses,event,
t6672,individual organism,,is assessed by,attribute,
t6673,individual organism,,is assessed by,organism taxon,
t6674,individual organism,,is assessed by,event,
t6675,individual organism,,interacts with,attribute,
t6676,individual organism,,interacts with,organism taxon,
t6677,individual organism,,interacts with,event,
t6678,individual organism,,associated with sensitivity to,molecular entity,
t6679,individual organism,,associated with sensitivity to,chemical mixture,
t6680,individual organism,,associated with sensitivity to,environmental food contaminant,
t6681,individual organism,,associated with resistance to,molecular entity,
t6682,individual organism,,associated with resistance to,chemical mixture,
t6683,individual organism,,associated with resistance to,environmental food contaminant,
t6684,individual organism,,correlated with,attribute,
t6685,individual organism,,correlated with,organism taxon,
t6686,individual organism,,correlated with,event,
t6687,individual organism,,positively correlated with,attribute,
t6688,individual organism,,positively correlated with,organism taxon,
t6689,individual organism,,positively correlated with,event,
t6690,individual organism,,negatively correlated with,attribute,
t6691,individual organism,,negatively correlated with,organism taxon,
t6692,individual organism,,negatively correlated with,event,
t6693,individual organism,,occurs together in literature with,attribute,
t6694,individual organism,,occurs together in literature with,organism taxon,
t6695,individual organism,,occurs together in literature with,event,
t6696,individual organism,,has phenotype,behavioral feature,
t6697,individual organism,,has phenotype,clinical finding,
t6698,individual organism,,located in,attribute,
t6699,individual organism,,located in,organism taxon,
t6700,individual organism,,located in,event,
t6701,individual organism,,location of,attribute,
t6702,individual organism,,location of,organism taxon,
t6703,individual organism,,location of,event,
t6704,individual organism,,is input of,molecular activity,
t6705,individual organism,,is input of,biological process,
t6706,individual organism,,is output of,molecular activity,
t6707,individual organism,,is output of,biological process,
t6708,individual organism,,actively involved in,molecular activity,
t6709,individual organism,,actively involved in,biological process,
t6710,individual organism,,capable of,activity and behavior,
t6711,individual organism,,capable of,phenomenon,
t6712,individual organism,,capable of,environmental process,
t6713,individual organism,,consumes,attribute,
t6714,individual organism,,consumes,organism taxon,
t6715,individual organism,,consumes,event,
t6716,individual organism,,consumed by,attribute,
t6717,individual organism,,consumed by,organism taxon,
t6718,individual organism,,consumed by,event,
t6719,individual organism,,has contraindication,chemical entity,
t6720,individual organism,,has contraindication,drug,
t6721,individual organism,,has contraindication,treatment,
t6722,individual organism,,in taxon,organism taxon,
t6723,population of individual organisms,,related to,attribute,
t6724,population of individual organisms,,related to,organism taxon,
t6725,population of individual organisms,,related to,event,
t6726,population of individual organisms,,associated with,attribute,
t6727,population of individual organisms,,associated with,organism taxon,
t6728,population of individual organisms,,associated with,event,
t6729,population of individual organisms,,assesses,attribute,
t6730,population of individual organisms,,assesses,organism taxon,
t6731,population of individual organisms,,assesses,event,
t6732,population of individual organisms,,is assessed by,attribute,
t6733,population of individual organisms,,is assessed by,organism taxon,
t6734,population of individual organisms,,is assessed by,event,
t6735,population of individual organisms,,interacts with,attribute,
t6736,population of individual organisms,,interacts with,organism taxon,
t6737,population of individual organisms,,interacts with,event,
t6738,population of individual organisms,,associated with sensitivity to,molecular entity,
t6739,population of individual organisms,,associated with sensitivity to,chemical mixture,
t6740,population of individual organisms,,associated with sensitivity to,environmental food contaminant,
t6741,population of individual organisms,,associated with resistance to,molecular entity,
t6742,population of individual organisms,,associated with resistance to,chemical mixture,
t6743,population of individual organisms,,associated with resistance to,environmental food contaminant,
t6744,population of individual organisms,,correlated with,attribute,
t6745,population of individual organisms,,correlated with,organism taxon,
t6746,population of individual organisms,,correlated with,event,
t6747,population of individual organisms,,positively correlated with,attribute,
t6748,population of individual organisms,,positively correlated with,organism taxon,
t6749,population of individual organisms,,positively correlated with,event,
t6750,population of individual organisms,,negatively correlated with,attribute,
t6751,population of individual organisms,,negatively correlated with,organism taxon,
t6752,population of individual organisms,,negatively correlated with,event,
t6753,population of individual organisms,,occurs together in literature with,attribute,
t6754,population of individual organisms,,occurs together in literature with,organism taxon,
t6755,population of individual organisms,,occurs together in literature with,event,
t6756,population of individual organisms,,has phenotype,behavioral feature,
t6757,population of individual organisms,,has phenotype,clinical finding,
t6758,population of individual organisms,,located in,attribute,
t6759,population of individual organisms,,located in,organism taxon,
t6760,population of individual organisms,,located in,event,
t6761,population of individual organisms,,location of,attribute,
t6762,population of individual organisms,,location of,organism taxon,
t6763,population of individual organisms,,location of,event,
t6764,population of individual organisms,,is input of,molecular activity,
t6765,population of individual organisms,,is input of,biological process,
t6766,population of individual organisms,,is output of,molecular activity,
t6767,population of individual organisms,,is output of,biological process,
t6768,population of individual organisms,,actively involved in,molecular activity,
t6769,population of individual organisms,,actively involved in,biological process,
t6770,population of individual organisms,,capable of,activity and behavior,
t6771,population of individual organisms,,capable of,phenomenon,
t6772,population of individual organisms,,capable of,environmental process,
t6773,population of individual organisms,,consumes,attribute,
t6774,population of individual organisms,,consumes,organism taxon,
t6775,population of individual organisms,,consumes,event,
t6776,population of individual organisms,,consumed by,attribute,
t6777,population of individual organisms,,consumed by,organism taxon,
t6778,population of individual organisms,,consumed by,event,
t6779,population of individual organisms,,has contraindication,chemical entity,
t6780,population of individual organisms,,has contraindication,drug,
t6781,population of individual organisms,,has contraindication,treatment,
t6782,population of individual organisms,,in taxon,organism taxon,
t6783,disease or phenotypic feature,,related to,attribute,
t6784,disease or phenotypic feature,,related to,organism taxon,
t6785,disease or phenotypic feature,,related to,event,
t6786,disease or phenotypic feature,,associated with,attribute,
t6787,disease or phenotypic feature,,associated with,organism taxon,
t6788,disease or phenotypic feature,,associated with,event,
t6789,disease or phenotypic feature,,assesses,attribute,
t6790,disease or phenotypic feature,,assesses,organism taxon,
t6791,disease or phenotypic feature,,assesses,event,
t6792,disease or phenotypic feature,,is assessed by,attribute,
t6793,disease or phenotypic feature,,is assessed by,organism taxon,
t6794,disease or phenotypic feature,,is assessed by,event,
t6795,disease or phenotypic feature,,interacts with,attribute,
t6796,disease or phenotypic feature,,interacts with,organism taxon,
t6797,disease or phenotypic feature,,interacts with,event,
t6798,disease or phenotypic feature,,associated with sensitivity to,molecular entity,
t6799,disease or phenotypic feature,,associated with sensitivity to,chemical mixture,
t6800,disease or phenotypic feature,,associated with sensitivity to,environmental food contaminant,
t6801,disease or phenotypic feature,,associated with resistance to,molecular entity,
t6802,disease or phenotypic feature,,associated with resistance to,chemical mixture,
t6803,disease or phenotypic feature,,associated with resistance to,environmental food contaminant,
t6804,disease or phenotypic feature,,is diagnosed by,diagnostic aid,
t6805,disease or phenotypic feature,,condition associated with gene,gene,
t6806,disease or phenotypic feature,,condition ameliorated by,chemical entity,
t6807,disease or phenotypic feature,,condition ameliorated by,drug,
t6808,disease or phenotypic feature,,condition ameliorated by,treatment,
t6809,disease or phenotypic feature,,condition prevented by,chemical entity,
t6810,disease or phenotypic feature,,condition prevented by,drug,
t6811,disease or phenotypic feature,,condition prevented by,treatment,
t6812,disease or phenotypic feature,,condition promoted by,chemical entity,
t6813,disease or phenotypic feature,,condition promoted by,drug,
t6814,disease or phenotypic feature,,condition promoted by,treatment,
t6815,disease or phenotypic feature,,condition predisposed by,chemical entity,
t6816,disease or phenotypic feature,,condition predisposed by,drug,
t6817,disease or phenotypic feature,,condition predisposed by,treatment,
t6818,disease or phenotypic feature,,condition exacerbated by,chemical entity,
t6819,disease or phenotypic feature,,condition exacerbated by,drug,
t6820,disease or phenotypic feature,,condition exacerbated by,treatment,
t6821,disease or phenotypic feature,,treated by,chemical entity,
t6822,disease or phenotypic feature,,treated by,drug,
t6823,disease or phenotypic feature,,treated by,treatment,
t6824,disease or phenotypic feature,,tested by clinical trials of,chemical entity,
t6825,disease or phenotypic feature,,tested by clinical trials of,drug,
t6826,disease or phenotypic feature,,tested by clinical trials of,treatment,
t6827,disease or phenotypic feature,,treated in studies by,chemical entity,
t6828,disease or phenotypic feature,,treated in studies by,drug,
t6829,disease or phenotypic feature,,treated in studies by,treatment,
t6830,disease or phenotypic feature,,tested by preclinical trials of,chemical entity,
t6831,disease or phenotypic feature,,tested by preclinical trials of,drug,
t6832,disease or phenotypic feature,,tested by preclinical trials of,treatment,
t6833,disease or phenotypic feature,,models demonstrating benefits for,chemical entity,
t6834,disease or phenotypic feature,,models demonstrating benefits for,drug,
t6835,disease or phenotypic feature,,models demonstrating benefits for,treatment,
t6836,disease or phenotypic feature,,treatment applications from,chemical entity,
t6837,disease or phenotypic feature,,treatment applications from,drug,
t6838,disease or phenotypic feature,,treatment applications from,treatment,
t6839,disease or phenotypic feature,,subject of treatment application or study for treatment by,chemical entity,
t6840,disease or phenotypic feature,,subject of treatment application or study for treatment by,drug,
t6841,disease or phenotypic feature,,subject of treatment application or study for treatment by,treatment,
t6842,disease or phenotypic feature,,correlated with,attribute,
t6843,disease or phenotypic feature,,correlated with,organism taxon,
t6844,disease or phenotypic feature,,correlated with,event,
t6845,disease or phenotypic feature,,positively correlated with,attribute,
t6846,disease or phenotypic feature,,positively correlated with,organism taxon,
t6847,disease or phenotypic feature,,positively correlated with,event,
t6848,disease or phenotypic feature,,negatively correlated with,attribute,
t6849,disease or phenotypic feature,,negatively correlated with,organism taxon,
t6850,disease or phenotypic feature,,negatively correlated with,event,
t6851,disease or phenotypic feature,,occurs together in literature with,attribute,
t6852,disease or phenotypic feature,,occurs together in literature with,organism taxon,
t6853,disease or phenotypic feature,,occurs together in literature with,event,
t6854,disease or phenotypic feature,,has biomarker,chemical entity,
t6855,disease or phenotypic feature,,has biomarker,regulatory region,
t6856,disease or phenotypic feature,,has biomarker,accessible dna region,
t6857,disease or phenotypic feature,,has phenotype,behavioral feature,
t6858,disease or phenotypic feature,,has phenotype,clinical finding,
t6859,disease or phenotypic feature,,located in,attribute,
t6860,disease or phenotypic feature,,located in,organism taxon,
t6861,disease or phenotypic feature,,located in,event,
t6862,disease or phenotypic feature,,location of,attribute,
t6863,disease or phenotypic feature,,location of,organism taxon,
t6864,disease or phenotypic feature,,location of,event,
t6865,disease or phenotypic feature,,is input of,molecular activity,
t6866,disease or phenotypic feature,,is input of,biological process,
t6867,disease or phenotypic feature,,is output of,molecular activity,
t6868,disease or phenotypic feature,,is output of,biological process,
t6869,disease or phenotypic feature,,actively involved in,molecular activity,
t6870,disease or phenotypic feature,,actively involved in,biological process,
t6871,disease or phenotypic feature,,capable of,activity and behavior,
t6872,disease or phenotypic feature,,capable of,phenomenon,
t6873,disease or phenotypic feature,,capable of,environmental process,
t6874,disease or phenotypic feature,,has mode of inheritance,genetic inheritance,
t6875,disease or phenotypic feature,,consumes,attribute,
t6876,disease or phenotypic feature,,consumes,organism taxon,
t6877,disease or phenotypic feature,,consumes,event,
t6878,disease or phenotypic feature,,consumed by,attribute,
t6879,disease or phenotypic feature,,consumed by,organism taxon,
t6880,disease or phenotypic feature,,consumed by,event,
t6881,disease or phenotypic feature,,adverse event of,chemical entity,
t6882,disease or phenotypic feature,,adverse event of,drug,
t6883,disease or phenotypic feature,,adverse event of,treatment,
t6884,disease or phenotypic feature,,is side effect of,chemical entity,
t6885,disease or phenotypic feature,,is side effect of,drug,
t6886,disease or phenotypic feature,,is side effect of,treatment,
t6887,disease or phenotypic feature,,has contraindication,chemical entity,
t6888,disease or phenotypic feature,,has contraindication,drug,
t6889,disease or phenotypic feature,,has contraindication,treatment,
t6890,disease or phenotypic feature,,in taxon,organism taxon,
t6891,disease,,related to,attribute,
t6892,disease,,related to,organism taxon,
t6893,disease,,related to,event,
t6894,disease,,associated with,attribute,
t6895,disease,,associated with,organism taxon,
t6896,disease,,associated with,event,
t6897,disease,,has target,gene,
t6898,disease,,assesses,attribute,
t6899,disease,,assesses,organism taxon,
t6900,disease,,assesses,event,
t6901,disease,,is assessed by,attribute,
t6902,disease,,is assessed by,organism taxon,
t6903,disease,,is assessed by,event,
t6904,disease,,interacts with,attribute,
t6905,disease,,interacts with,organism taxon,
t6906,disease,,interacts with,event,
t6907,disease,,associated with sensitivity to,molecular entity,
t6908,disease,,associated with sensitivity to,chemical mixture,
t6909,disease,,associated with sensitivity to,environmental food contaminant,
t6910,disease,,associated with resistance to,molecular entity,
t6911,disease,,associated with resistance to,chemical mixture,
t6912,disease,,associated with resistance to,environmental food contaminant,
t6913,disease,,is diagnosed by,diagnostic aid,
t6914,disease,,condition associated with gene,gene,
t6915,disease,,condition ameliorated by,chemical entity,
t6916,disease,,condition ameliorated by,drug,
t6917,disease,,condition ameliorated by,treatment,
t6918,disease,,condition prevented by,chemical entity,
t6919,disease,,condition prevented by,drug,
t6920,disease,,condition prevented by,treatment,
t6921,disease,,condition promoted by,chemical entity,
t6922,disease,,condition promoted by,drug,
t6923,disease,,condition promoted by,treatment,
t6924,disease,,condition predisposed by,chemical entity,
t6925,disease,,condition predisposed by,drug,
t6926,disease,,condition predisposed by,treatment,
t6927,disease,,condition exacerbated by,chemical entity,
t6928,disease,,condition exacerbated by,drug,
t6929,disease,,condition exacerbated by,treatment,
t6930,disease,,treated by,chemical entity,
t6931,disease,,treated by,drug,
t6932,disease,,treated by,treatment,
t6933,disease,,tested by clinical trials of,chemical entity,
t6934,disease,,tested by clinical trials of,drug,
t6935,disease,,tested by clinical trials of,treatment,
t6936,disease,,treated in studies by,chemical entity,
t6937,disease,,treated in studies by,drug,
t6938,disease,,treated in studies by,treatment,
t6939,disease,,tested by preclinical trials of,chemical entity,
t6940,disease,,tested by preclinical trials of,drug,
t6941,disease,,tested by preclinical trials of,treatment,
t6942,disease,,models demonstrating benefits for,chemical entity,
t6943,disease,,models demonstrating benefits for,drug,
t6944,disease,,models demonstrating benefits for,treatment,
t6945,disease,,treatment applications from,chemical entity,
t6946,disease,,treatment applications from,drug,
t6947,disease,,treatment applications from,treatment,
t6948,disease,,subject of treatment application or study for treatment by,chemical entity,
t6949,disease,,subject of treatment application or study for treatment by,drug,
t6950,disease,,subject of treatment application or study for treatment by,treatment,
t6951,disease,,correlated with,attribute,
t6952,disease,,correlated with,organism taxon,
t6953,disease,,correlated with,event,
t6954,disease,,positively correlated with,attribute,
t6955,disease,,positively correlated with,organism taxon,
t6956,disease,,positively correlated with,event,
t6957,disease,,negatively correlated with,attribute,
t6958,disease,,negatively correlated with,organism taxon,
t6959,disease,,negatively correlated with,event,
t6960,disease,,occurs together in literature with,attribute,
t6961,disease,,occurs together in literature with,organism taxon,
t6962,disease,,occurs together in literature with,event,
t6963,disease,,has biomarker,chemical entity,
t6964,disease,,has biomarker,regulatory region,
t6965,disease,,has biomarker,accessible dna region,
t6966,disease,,has phenotype,behavioral feature,
t6967,disease,,has phenotype,clinical finding,
t6968,disease,,located in,attribute,
t6969,disease,,located in,organism taxon,
t6970,disease,,located in,event,
t6971,disease,,location of,attribute,
t6972,disease,,location of,organism taxon,
t6973,disease,,location of,event,
t6974,disease,,is input of,molecular activity,
t6975,disease,,is input of,biological process,
t6976,disease,,is output of,molecular activity,
t6977,disease,,is output of,biological process,
t6978,disease,,actively involved in,molecular activity,
t6979,disease,,actively involved in,biological process,
t6980,disease,,capable of,activity and behavior,
t6981,disease,,capable of,phenomenon,
t6982,disease,,capable of,environmental process,
t6983,disease,,has manifestation,,
t6984,disease,,has mode of inheritance,genetic inheritance,
t6985,disease,,consumes,attribute,
t6986,disease,,consumes,organism taxon,
t6987,disease,,consumes,event,
t6988,disease,,consumed by,attribute,
t6989,disease,,consumed by,organism taxon,
t6990,disease,,consumed by,event,
t6991,disease,,adverse event of,chemical entity,
t6992,disease,,adverse event of,drug,
t6993,disease,,adverse event of,treatment,
t6994,disease,,is side effect of,chemical entity,
t6995,disease,,is side effect of,drug,
t6996,disease,,is side effect of,treatment,
t6997,disease,,has contraindication,chemical entity,
t6998,disease,,has contraindication,drug,
t6999,disease,,has contraindication,treatment,
t7000,disease,,in taxon,organism taxon,
t7001,phenotypic feature,,related to,attribute,
t7002,phenotypic feature,,related to,organism taxon,
t7003,phenotypic feature,,related to,event,
t7004,phenotypic feature,,associated with,attribute,
t7005,phenotypic feature,,associated with,organism taxon,
t7006,phenotypic feature,,associated with,event,
t7007,phenotypic feature,,assesses,attribute,
t7008,phenotypic feature,,assesses,organism taxon,
t7009,phenotypic feature,,assesses,event,
t7010,phenotypic feature,,is assessed by,attribute,
t7011,phenotypic feature,,is assessed by,organism taxon,
t7012,phenotypic feature,,is assessed by,event,
t7013,phenotypic feature,,interacts with,attribute,
t7014,phenotypic feature,,interacts with,organism taxon,
t7015,phenotypic feature,,interacts with,event,
t7016,phenotypic feature,,associated with sensitivity to,molecular entity,
t7017,phenotypic feature,,associated with sensitivity to,chemical mixture,
t7018,phenotypic feature,,associated with sensitivity to,environmental food contaminant,
t7019,phenotypic feature,,associated with resistance to,molecular entity,
t7020,phenotypic feature,,associated with resistance to,chemical mixture,
t7021,phenotypic feature,,associated with resistance to,environmental food contaminant,
t7022,phenotypic feature,,is diagnosed by,diagnostic aid,
t7023,phenotypic feature,,condition associated with gene,gene,
t7024,phenotypic feature,,condition ameliorated by,chemical entity,
t7025,phenotypic feature,,condition ameliorated by,drug,
t7026,phenotypic feature,,condition ameliorated by,treatment,
t7027,phenotypic feature,,condition prevented by,chemical entity,
t7028,phenotypic feature,,condition prevented by,drug,
t7029,phenotypic feature,,condition prevented by,treatment,
t7030,phenotypic feature,,condition promoted by,chemical entity,
t7031,phenotypic feature,,condition promoted by,drug,
t7032,phenotypic feature,,condition promoted by,treatment,
t7033,phenotypic feature,,condition predisposed by,chemical entity,
t7034,phenotypic feature,,condition predisposed by,drug,
t7035,phenotypic feature,,condition predisposed by,treatment,
t7036,phenotypic feature,,condition exacerbated by,chemical entity,
t7037,phenotypic feature,,condition exacerbated by,drug,
t7038,phenotypic feature,,condition exacerbated by,treatment,
t7039,phenotypic feature,,treated by,chemical entity,
t7040,phenotypic feature,,treated by,drug,
t7041,phenotypic feature,,treated by,treatment,
t7042,phenotypic feature,,tested by clinical trials of,chemical entity,
t7043,phenotypic feature,,tested by clinical trials of,drug,
t7044,phenotypic feature,,tested by clinical trials of,treatment,
t7045,phenotypic feature,,treated in studies by,chemical entity,
t7046,phenotypic feature,,treated in studies by,drug,
t7047,phenotypic feature,,treated in studies by,treatment,
t7048,phenotypic feature,,tested by preclinical trials of,chemical entity,
t7049,phenotypic feature,,tested by preclinical trials of,drug,
t7050,phenotypic feature,,tested by preclinical trials of,treatment,
t7051,phenotypic feature,,models demonstrating benefits for,chemical entity,
t7052,phenotypic feature,,models demonstrating benefits for,drug,
t7053,phenotypic feature,,models demonstrating benefits for,treatment,
t7054,phenotypic feature,,treatment applications from,chemical entity,
t7055,phenotypic feature,,treatment applications from,drug,
t7056,phenotypic feature,,treatment applications from,treatment,
t7057,phenotypic feature,,subject of treatment application or study for treatment by,chemical entity,
t7058,phenotypic feature,,subject of treatment application or study for treatment by,drug,
t7059,phenotypic feature,,subject of treatment application or study for treatment by,treatment,
t7060,phenotypic feature,,correlated with,attribute,
t7061,phenotypic feature,,correlated with,organism taxon,
t7062,phenotypic feature,,correlated with,event,
t7063,phenotypic feature,,positively correlated with,attribute,
t7064,phenotypic feature,,positively correlated with,organism taxon,
t7065,phenotypic feature,,positively correlated with,event,
t7066,phenotypic feature,,negatively correlated with,attribute,
t7067,phenotypic feature,,negatively correlated with,organism taxon,
t7068,phenotypic feature,,negatively correlated with,event,
t7069,phenotypic feature,,occurs together in literature with,attribute,
t7070,phenotypic feature,,occurs together in literature with,organism taxon,
t7071,phenotypic feature,,occurs together in literature with,event,
t7072,phenotypic feature,,has biomarker,chemical entity,
t7073,phenotypic feature,,has biomarker,regulatory region,
t7074,phenotypic feature,,has biomarker,accessible dna region,
t7075,phenotypic feature,,has phenotype,behavioral feature,
t7076,phenotypic feature,,has phenotype,clinical finding,
t7077,phenotypic feature,,phenotype of,regulatory region,
t7078,phenotypic feature,,phenotype of,biological process or activity,
t7079,phenotypic feature,,phenotype of,genetic inheritance,
t7080,phenotypic feature,,located in,attribute,
t7081,phenotypic feature,,located in,organism taxon,
t7082,phenotypic feature,,located in,event,
t7083,phenotypic feature,,location of,attribute,
t7084,phenotypic feature,,location of,organism taxon,
t7085,phenotypic feature,,location of,event,
t7086,phenotypic feature,,is input of,molecular activity,
t7087,phenotypic feature,,is input of,biological process,
t7088,phenotypic feature,,is output of,molecular activity,
t7089,phenotypic feature,,is output of,biological process,
t7090,phenotypic feature,,actively involved in,molecular activity,
t7091,phenotypic feature,,actively involved in,biological process,
t7092,phenotypic feature,,capable of,activity and behavior,
t7093,phenotypic feature,,capable of,phenomenon,
t7094,phenotypic feature,,capable of,environmental process,
t7095,phenotypic feature,,has mode of inheritance,genetic inheritance,
t7096,phenotypic feature,,consumes,attribute,
t7097,phenotypic feature,,consumes,organism taxon,
t7098,phenotypic feature,,consumes,event,
t7099,phenotypic feature,,consumed by,attribute,
t7100,phenotypic feature,,consumed by,organism taxon,
t7101,phenotypic feature,,consumed by,event,
t7102,phenotypic feature,,adverse event of,chemical entity,
t7103,phenotypic feature,,adverse event of,drug,
t7104,phenotypic feature,,adverse event of,treatment,
t7105,phenotypic feature,,is side effect of,chemical entity,
t7106,phenotypic feature,,is side effect of,drug,
t7107,phenotypic feature,,is side effect of,treatment,
t7108,phenotypic feature,,has contraindication,chemical entity,
t7109,phenotypic feature,,has contraindication,drug,
t7110,phenotypic feature,,has contraindication,treatment,
t7111,phenotypic feature,,in taxon,organism taxon,
t7112,behavioral feature,,related to,attribute,
t7113,behavioral feature,,related to,organism taxon,
t7114,behavioral feature,,related to,event,
t7115,behavioral feature,,associated with,attribute,
t7116,behavioral feature,,associated with,organism taxon,
t7117,behavioral feature,,associated with,event,
t7118,behavioral feature,,assesses,attribute,
t7119,behavioral feature,,assesses,organism taxon,
t7120,behavioral feature,,assesses,event,
t7121,behavioral feature,,is assessed by,attribute,
t7122,behavioral feature,,is assessed by,organism taxon,
t7123,behavioral feature,,is assessed by,event,
t7124,behavioral feature,,interacts with,attribute,
t7125,behavioral feature,,interacts with,organism taxon,
t7126,behavioral feature,,interacts with,event,
t7127,behavioral feature,,associated with sensitivity to,molecular entity,
